STN,YYYYMMDD,TG,TN,TX
  249,19991007,  113,   75,  146
  249,19991008,  131,  101,  157
  249,19991009,  148,  140,  163
  249,19991010,  157,  144,  166
  249,19991011,  122,   79,  165
  249,19991012,   96,   51,  151
  249,19991013,   96,   53,  146
  249,19991014,  120,   52,  158
  249,19991015,  109,   65,  135
  249,19991016,   85,   42,  128
  249,19991017,   76,   43,  106
  249,19991018,   69,   39,  104
  249,19991019,   65,   37,   97
  249,19991020,   58,   36,   91
  249,19991021,   48,   24,   73
  249,19991022,   95,   71,  112
  249,19991023,  125,   93,  170
  249,19991024,  115,   88,  143
  249,19991025,  121,  106,  142
  249,19991026,  124,  106,  147
  249,19991027,  123,  102,  151
  249,19991028,  120,   98,  151
  249,19991029,  104,   92,  122
  249,19991030,  133,   98,  174
  249,19991031,  122,   89,  144
  249,19991101,  127,   90,  177
  249,19991102,  106,   63,  147
  249,19991103,   97,   45,  140
  249,19991104,   82,   50,  129
  249,19991105,   81,   47,  106
  249,19991106,   91,   73,  111
  249,19991107,  103,   60,  131
  249,19991108,  101,   67,  131
  249,19991109,  102,   79,  121
  249,19991110,   90,   75,  112
  249,19991111,   57,   -3,   96
  249,19991112,   19,  -25,   78
  249,19991113,   49,  -30,   99
  249,19991114,   73,    5,  110
  249,19991115,   15,  -15,   69
  249,19991116,   14,  -21,   48
  249,19991117,   42,   11,   71
  249,19991118,   27,    8,   60
  249,19991119,   37,   18,   54
  249,19991120,   26,    6,   47
  249,19991121,   25,   -8,   47
  249,19991122,   72,   38,   93
  249,19991123,   76,   39,  107
  249,19991124,   92,   76,  107
  249,19991125,   87,   58,  105
  249,19991126,   83,   52,  105
  249,19991127,   74,   57,  106
  249,19991128,   92,   66,  113
  249,19991129,   75,   66,   91
  249,19991130,   81,   42,  113
  249,19991201,   95,   76,  113
  249,19991202,   76,   63,   90
  249,19991203,   80,   53,  101
  249,19991204,   43,   13,   67
  249,19991205,   47,   15,   75
  249,19991206,   88,   48,  108
  249,19991207,   91,   61,  107
  249,19991208,   78,   59,  101
  249,19991209,   74,   61,   95
  249,19991210,   66,   37,   87
  249,19991211,   79,   44,  116
  249,19991212,   77,   48,  100
  249,19991213,   49,   18,   72
  249,19991214,   29,   10,   46
  249,19991215,    9,   -5,   22
  249,19991216,   26,  -25,   65
  249,19991217,   63,   16,   95
  249,19991218,   28,    0,   55
  249,19991219,   10,  -10,   32
  249,19991220,   20,   -8,   38
  249,19991221,    6,   -4,   32
  249,19991222,    7,  -12,   31
  249,19991223,   60,   28,   85
  249,19991224,   78,   46,   99
  249,19991225,   71,   42,  113
  249,19991226,   44,   21,   70
  249,19991227,   33,  -10,   66
  249,19991228,   11,  -13,   48
  249,19991229,   25,    0,   59
  249,19991230,   31,   12,   46
  249,19991231,   39,   32,   49
  249,20000101,   60,   19,   89
  249,20000102,   68,   51,   83
  249,20000103,   84,   52,   99
  249,20000104,   52,   19,   87
  249,20000105,   44,   11,   68
  249,20000106,   68,   42,   86
  249,20000107,   56,   27,   78
  249,20000108,   57,   20,   87
  249,20000109,   20,  -12,   67
  249,20000110,   14,  -20,   59
  249,20000111,   36,   11,   56
  249,20000112,   13,   -1,   37
  249,20000113,   16,   -1,   28
  249,20000114,   31,   17,   56
  249,20000115,   29,   10,   56
  249,20000116,   57,   26,   73
  249,20000117,   69,   56,   78
  249,20000118,   65,   40,   81
  249,20000119,   42,   25,   56
  249,20000120,   55,   43,   66
  249,20000121,   51,   17,   72
  249,20000122,   51,   35,   66
  249,20000123,   10,  -28,   44
  249,20000124,  -17,  -48,    8
  249,20000125,   20,    0,   45
  249,20000126,   45,   25,   75
  249,20000127,   45,   18,   54
  249,20000128,   54,   44,   70
  249,20000129,   86,   66,  101
  249,20000130,   83,   63,   99
  249,20000131,   90,   83,  100
  249,20000201,   82,   73,   90
  249,20000202,   73,   62,   82
  249,20000203,   63,   42,   86
  249,20000204,   74,   34,   83
  249,20000205,   83,   70,  111
  249,20000206,   77,   56,   93
  249,20000207,   76,   58,   96
  249,20000208,   80,   55,  109
  249,20000209,   64,   29,   82
  249,20000210,   59,   47,   78
  249,20000211,   49,   18,   80
  249,20000212,   52,   37,   78
  249,20000213,   53,   17,   73
  249,20000214,   44,    0,   75
  249,20000215,   62,   43,   86
  249,20000216,   33,    5,   55
  249,20000217,   37,    3,   68
  249,20000218,   47,    9,   76
  249,20000219,   44,   24,   57
  249,20000220,   22,  -16,   67
  249,20000221,   25,  -23,   58
  249,20000222,   38,    4,   73
  249,20000223,   48,  -13,   94
  249,20000224,   73,   46,   90
  249,20000225,   53,   36,   79
  249,20000226,   43,   17,   87
  249,20000227,   79,   15,  118
  249,20000228,   83,   52,  125
  249,20000229,   65,   45,   87
  249,20000301,   52,   29,   80
  249,20000302,   52,    9,   85
  249,20000303,   67,   16,   95
  249,20000304,   17,   -5,   48
  249,20000305,   29,  -14,   66
  249,20000306,   70,   44,   83
  249,20000307,   93,   81,  107
  249,20000308,  106,   91,  127
  249,20000309,   96,   38,  122
  249,20000310,   61,    8,   92
  249,20000311,   82,   37,  101
  249,20000312,   70,   20,  117
  249,20000313,   71,   34,   94
  249,20000314,   73,   33,   96
  249,20000315,   56,   20,   77
  249,20000316,   76,   60,   94
  249,20000317,   81,   65,  104
  249,20000318,   68,   59,   83
  249,20000319,   54,   15,   95
  249,20000320,   61,   -1,  111
  249,20000321,   66,   17,   98
  249,20000322,   63,    7,  129
  249,20000323,   51,   -1,   88
  249,20000324,   82,   56,  110
  249,20000325,   82,   56,  116
  249,20000326,   68,   42,   97
  249,20000327,   60,   29,   91
  249,20000328,   47,   41,   56
  249,20000329,   59,   43,   90
  249,20000330,   62,   53,   79
  249,20000331,   58,   34,   77
  249,20000401,   61,   42,   87
  249,20000402,   95,   53,  133
  249,20000403,  107,   68,  161
  249,20000404,   76,   37,  107
  249,20000405,   42,   10,   69
  249,20000406,   46,  -13,   96
  249,20000407,   48,  -18,  117
  249,20000408,   59,  -20,  119
  249,20000409,   84,   40,  137
  249,20000410,   46,   -2,   92
  249,20000411,   49,  -24,  103
  249,20000412,   59,   26,   82
  249,20000413,   51,   23,   81
  249,20000414,   52,    3,  105
  249,20000415,   76,   16,  124
  249,20000416,   81,   58,  112
  249,20000417,   96,   74,  140
  249,20000418,  105,   55,  152
  249,20000419,  112,   61,  174
  249,20000420,  126,   76,  160
  249,20000421,  122,  100,  153
  249,20000422,  127,  103,  170
  249,20000423,  104,   91,  120
  249,20000424,  107,   43,  157
  249,20000425,  140,   92,  192
  249,20000426,  140,   88,  213
  249,20000427,  137,  104,  177
  249,20000428,  137,   78,  209
  249,20000429,  104,   76,  123
  249,20000430,  112,   72,  133
  249,20000501,  109,   90,  133
  249,20000502,   97,   86,  118
  249,20000503,  107,   88,  137
  249,20000504,  114,   94,  164
  249,20000505,  165,   73,  242
  249,20000506,  189,  117,  259
  249,20000507,  191,  128,  266
  249,20000508,  189,  143,  250
  249,20000509,  187,  134,  248
  249,20000510,  189,  116,  264
  249,20000511,  157,  102,  205
  249,20000512,  174,   90,  240
  249,20000513,  175,  125,  241
  249,20000514,  183,   81,  262
  249,20000515,  200,  108,  279
  249,20000516,  205,  136,  286
  249,20000517,  132,  106,  152
  249,20000518,  108,   72,  142
  249,20000519,  103,   69,  136
  249,20000520,  104,   52,  145
  249,20000521,   99,   40,  122
  249,20000522,  118,   79,  159
  249,20000523,  137,   78,  176
  249,20000524,  134,  118,  164
  249,20000525,  127,   74,  145
  249,20000526,  131,   69,  164
  249,20000527,  121,   87,  162
  249,20000528,   97,   81,  132
  249,20000529,  103,   61,  142
  249,20000530,   98,   39,  137
  249,20000531,  120,   35,  170
  249,20000601,  138,  116,  156
  249,20000602,  140,  100,  176
  249,20000603,  163,   87,  218
  249,20000604,  153,   94,  188
  249,20000605,  121,   86,  145
  249,20000606,  124,  108,  141
  249,20000607,  118,   64,  151
  249,20000608,  157,   75,  217
  249,20000609,  203,  148,  280
  249,20000610,  147,   90,  179
  249,20000611,  140,   80,  182
  249,20000612,  154,  129,  180
  249,20000613,  152,  138,  177
  249,20000614,  153,  140,  179
  249,20000615,  136,   71,  182
  249,20000616,  121,   54,  176
  249,20000617,  144,   59,  195
  249,20000618,  206,  120,  271
  249,20000619,  248,  171,  322
  249,20000620,  244,  179,  315
  249,20000621,  189,  154,  241
  249,20000622,  166,  140,  196
  249,20000623,  144,  118,  183
  249,20000624,  135,  107,  162
  249,20000625,  123,  105,  146
  249,20000626,  117,   63,  158
  249,20000627,  121,   65,  166
  249,20000628,  123,   77,  159
  249,20000629,  123,   87,  159
  249,20000630,  128,   82,  172
  249,20000701,  131,   84,  152
  249,20000702,  170,  141,  217
  249,20000703,  183,  130,  238
  249,20000704,  165,  131,  209
  249,20000705,  153,  135,  175
  249,20000706,  151,   99,  193
  249,20000707,  136,   94,  171
  249,20000708,  133,   76,  171
  249,20000709,  140,  123,  149
  249,20000710,  150,  125,  179
  249,20000711,  130,  115,  147
  249,20000712,  129,   91,  162
  249,20000713,  150,  107,  177
  249,20000714,  133,  110,  165
  249,20000715,  131,  106,  154
  249,20000716,  135,  120,  169
  249,20000717,  132,  108,  153
  249,20000718,  133,  115,  160
  249,20000719,  155,  104,  190
  249,20000720,  158,   99,  205
  249,20000721,  139,   99,  178
  249,20000722,  145,   90,  166
  249,20000723,  154,  138,  176
  249,20000724,  167,  135,  213
  249,20000725,  166,  145,  207
  249,20000726,  148,   92,  177
  249,20000727,  162,   91,  208
  249,20000728,  167,  117,  211
  249,20000729,  172,  113,  224
  249,20000730,  157,  106,  203
  249,20000731,  173,   87,  240
  249,20000801,  202,  139,  266
  249,20000802,  180,  137,  216
  249,20000803,  172,  116,  212
  249,20000804,  159,   99,  207
  249,20000805,  155,   98,  212
  249,20000806,  172,  113,  217
  249,20000807,  169,  125,  211
  249,20000808,  171,  121,  209
  249,20000809,  184,  122,  228
  249,20000810,  182,  172,  203
  249,20000811,  175,  116,  228
  249,20000812,  160,   86,  219
  249,20000813,  216,  115,  287
  249,20000814,  206,  178,  254
  249,20000815,  181,  141,  220
  249,20000816,  173,  143,  211
  249,20000817,  176,  146,  216
  249,20000818,  180,  134,  222
  249,20000819,  186,  148,  232
  249,20000820,  165,  109,  212
  249,20000821,  142,  101,  188
  249,20000822,  146,   79,  200
  249,20000823,  145,   82,  199
  249,20000824,  146,   67,  214
  249,20000825,  171,  111,  203
  249,20000826,  189,  148,  234
  249,20000827,  167,  128,  200
  249,20000828,  155,  116,  199
  249,20000829,  149,   94,  205
  249,20000830,  135,   78,  200
  249,20000831,  152,   75,  188
  249,20000901,  157,  128,  193
  249,20000902,  153,  121,  189
  249,20000903,  145,  121,  180
  249,20000904,  135,   96,  164
  249,20000905,  150,   90,  200
  249,20000906,  153,  137,  184
  249,20000907,  156,  137,  176
  249,20000908,  169,  141,  195
  249,20000909,  151,  102,  191
  249,20000910,  160,   91,  225
  249,20000911,  178,  129,  222
  249,20000912,  172,  139,  210
  249,20000913,  154,  127,  180
  249,20000914,  162,  127,  203
  249,20000915,  172,  131,  205
  249,20000916,  150,  104,  187
  249,20000917,  136,   93,  168
  249,20000918,  162,  123,  189
  249,20000919,  170,  144,  205
  249,20000920,  140,  128,  158
  249,20000921,  126,  111,  147
  249,20000922,  155,   98,  198
  249,20000923,  166,  138,  202
  249,20000924,  152,  121,  187
  249,20000925,  148,  106,  191
  249,20000926,  158,  131,  200
  249,20000927,  156,  137,  186
  249,20000928,  153,  139,  166
  249,20000929,  163,  127,  197
  249,20000930,  162,  138,  200
  249,20001001,  142,  110,  168
  249,20001002,  128,   94,  168
  249,20001003,  128,   99,  166
  249,20001004,  128,  102,  148
  249,20001005,  117,   68,  155
  249,20001006,   95,   61,  147
  249,20001007,   91,   50,  140
  249,20001008,   97,   63,  123
  249,20001009,   95,   39,  139
  249,20001010,   92,   72,  116
  249,20001011,  100,   83,  128
  249,20001012,  110,   84,  144
  249,20001013,  111,   86,  147
  249,20001014,   98,   66,  119
  249,20001015,  107,   75,  157
  249,20001016,  121,  109,  137
  249,20001017,  101,   54,  140
  249,20001018,  101,   57,  119
  249,20001019,  106,   50,  153
  249,20001020,  110,   57,  139
  249,20001021,  143,  112,  189
  249,20001022,  138,  109,  168
  249,20001023,  147,  124,  184
  249,20001024,  126,  116,  138
  249,20001025,  121,  102,  147
  249,20001026,  104,   81,  125
  249,20001027,  117,   89,  143
  249,20001028,  133,  120,  140
